"run_id","source_file","curation_status","scenario_id","treatment","treatment_pair_id","repetition"
"phase05_20260607_201947_00bacbf8","data/logs/phase05_experiments/raw/phase05_20260607_201947_00bacbf8_baseline_descent.csv","accepted","P05_S04_H2_Y08_YAW15","T0","P05_S04_H2_Y08_YAW15_R05","5"
"phase05_20260607_202259_ee7d9535","data/logs/phase05_experiments/raw/phase05_20260607_202259_ee7d9535_mavlink_visual_servo.csv","accepted","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R05","5"
"phase05_20260607_202528_4e226b05","data/logs/phase05_experiments/raw/phase05_20260607_202528_4e226b05_mavlink_visual_servo.csv","accepted","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R06","6"
"phase05_20260607_202802_f1ccaa50","data/logs/phase05_experiments/raw/phase05_20260607_202802_f1ccaa50_baseline_descent.csv","accepted","P05_S04_H2_Y08_YAW15","T0","P05_S04_H2_Y08_YAW15_R06","6"
"phase05_20260607_203018_78b4b93d","data/logs/phase05_experiments/raw/phase05_20260607_203018_78b4b93d_baseline_descent.csv","accepted","P05_S04_H2_Y08_YAW15","T0","P05_S04_H2_Y08_YAW15_R07","7"
"phase05_20260607_203218_26efe62a","data/logs/phase05_experiments/raw/phase05_20260607_203218_26efe62a_mavlink_visual_servo.csv","accepted","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R07","7"
"phase05_20260607_203502_6e0b3de1","data/logs/phase05_experiments/raw/phase05_20260607_203502_6e0b3de1_mavlink_visual_servo.csv","accepted","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R08","8"
"phase05_20260607_204013_33ccace8","data/logs/phase05_experiments/raw/phase05_20260607_204013_33ccace8_baseline_descent.csv","accepted","P05_S04_H2_Y08_YAW15","T0","P05_S04_H2_Y08_YAW15_R08","8"
"phase05_20260607_210540_4e06679b","data/logs/phase05_experiments/raw/phase05_20260607_210540_4e06679b_baseline_descent.csv","accepted","P05_S04_H2_Y08_YAW15","T0","P05_S04_H2_Y08_YAW15_R09","9"
"phase05_20260607_210813_021d52e2","data/logs/phase05_experiments/raw/phase05_20260607_210813_021d52e2_mavlink_visual_servo.csv","accepted","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R09","9"
"phase05_20260607_211217_143c9f08","data/logs/phase05_experiments/raw/phase05_20260607_211217_143c9f08_mavlink_visual_servo.csv","accepted","P05_S04_H2_Y08_YAW15","T1","P05_S04_H2_Y08_YAW15_R10","10"
"phase05_20260607_211514_29807371","data/logs/phase05_experiments/raw/phase05_20260607_211514_29807371_baseline_descent.csv","accepted","P05_S04_H2_Y08_YAW15","T0","P05_S04_H2_Y08_YAW15_R10","10"
"phase05_20260607_213303_9c51c735","data/logs/phase05_experiments/raw/phase05_20260607_213303_9c51c735_baseline_descent.csv","accepted","P05_S05_H3_Y04_YAW0","T0","P05_S05_H3_Y04_YAW0_R01","1"
"phase05_20260607_213623_1b8534dd","data/logs/phase05_experiments/raw/phase05_20260607_213623_1b8534dd_mavlink_visual_servo.csv","accepted","P05_S05_H3_Y04_YAW0","T1","P05_S05_H3_Y04_YAW0_R01","1"
"phase05_20260607_213902_7caf345d","data/logs/phase05_experiments/raw/phase05_20260607_213902_7caf345d_mavlink_visual_servo.csv","accepted","P05_S05_H3_Y04_YAW0","T1","P05_S05_H3_Y04_YAW0_R02","2"
"phase05_20260607_214148_83b1349c","data/logs/phase05_experiments/raw/phase05_20260607_214148_83b1349c_baseline_descent.csv","accepted","P05_S05_H3_Y04_YAW0","T0","P05_S05_H3_Y04_YAW0_R02","2"
"phase05_20260607_214425_58aa6793","data/logs/phase05_experiments/raw/phase05_20260607_214425_58aa6793_baseline_descent.csv","accepted","P05_S05_H3_Y04_YAW0","T0","P05_S05_H3_Y04_YAW0_R03","3"
"phase05_20260607_214643_a41bad91","data/logs/phase05_experiments/raw/phase05_20260607_214643_a41bad91_mavlink_visual_servo.csv","accepted","P05_S05_H3_Y04_YAW0","T1","P05_S05_H3_Y04_YAW0_R03","3"
